gender,age_range,country,acct_age_weeks,user_id
male,18 - 24,SG,130,17a1a17f75a34109bece9af7f0ccc20e
female,18 - 24,MY,13,22cb517b265a4e0e9b77beb6dcd8f336
male,25 - 29,NZ,177,57723344471d4392beec4c28553155a3
male,35 - 44,FR,83,0c934659aec1499bb18db49cce71e11c
female,45 - 54,SE,242,4ef0b633591f40f6a4d35add4ca91463
male,30 - 34,US,205,12ba031f83d64050b3321dad7c797363
female,18 - 24,IT,0,cd7278521fd14a69953798414fc0c085
male,55+,TR,27,5891c2d8835e431ca7f50032708f4e37
male,25 - 29,DE,88,37008fc20aae4783a173b7bcd5b102f3
female,0 - 17,US,6,a409a2793d794ba090ed63f4b4826b21
male,18 - 24,US,109,cf79c981ac5d48938a84d59ade5b1af6
female,25 - 29,GB,227,ee513cb199024623a15a4353de27e8b8
male,30 - 34,US,45,ee5062ca302f441cae24cce227c7c053
male,55+,US,27,6755b2dd6de34857a5d76af0e1a8a0cd
male,18 - 24,US,179,83d21b2ef58d45e3a603cb9ac76764ef
female,0 - 17,US,81,006bc4291a3140b7906b73468e6a13ed
female,18 - 24,BR,35,4ec047a84f9a4a448b8b53afa51ae20f
female,25 - 29,US,176,d7edf6b246cc4ef1a9f345a8906eacdf
male,55+,NL,173,1db48ba4f43347b38b1f008d1c52cbaa
female,18 - 24,NL,210,24cc0fab75864796a2ec78bac68aa512
female,45 - 54,US,17,9ef4f645edac452bbd152fbc73be2612
female,30 - 34,US,1,6ee2b14a05f445c6847882e6a2bb796e
female,18 - 24,ES,100,587776ac06c94c948cfdc348930f0b6a
male,55+,US,10,41a1794a77804100a8b42c28805f7f6e
male,45 - 54,BR,10,29f5cb2a50c74332a5ce8dde4a1de783
female,0 - 17,DE,0,9daa90cfb3db484dae72255c590b917d
male,25 - 29,BR,10,b23d48e8e7374122bbb4cb6f60e31b97
male,25 - 29,GB,328,61470cce7a794b0e9dd7da72f20de725
male,18 - 24,TR,3,aadad65968384af5bcd4e445d15d1d26
